tematica;nombre_capa;descripcion_capa;ultima_actualizacion_reportada;fuente
;Meta_Conservacion;"Se calculó una meta de conservación a partir del estimado de la probabilidad de colapso de la diversidad biológica obtenida para cada unidad de análisis y subzonas hidrográficas. Para cada unidad de análisis se calculó la probabilidad de colapso de la biodiversidad biológica (terrestre y acuática) para ser integradas posteriormente en un valor único. La evaluación de la probabilidad de colapso se realizó a partir de la interacción de las amenazas (motores de perdida de la biodiversidad o factores extremos) y vulnerabilidades intrínsecas a las unidades de análisis. El rango de meta de conservación (MC) entre un 17% como la meta mínima y un 60% como la máxima, se le asignó al valor mínimo de la probabilidad de colapso, la meta de 17% y al máximo de la probabilidad de colapso (100%), la meta de 60%. Los valores fueron fijados con base en la última comunicación del Convenio de Diversidad Biológica donde la meta 11 del Plan Estratégico para la Biodiversidad 2011-2020 (http://www.cbd.int/sp/) plantea que “para el 2020 al menos el 17% del territorio terrestre y dulce acuícola y el 10% del área marina y costera deberán ser manejados de manera eficiente y equitativa, a su vez ser ecológicamente representativos…”. Basados en esto, consideramos prudente que la meta mínima para UAT de baja probabilidad de colapso sea de 17%. El valor máximo de 60% dado a la UA de mayor probabilidad de colapso se definió basado en diversos autores (Pressey et al, 2003; Margules y Pressey, 2000; Tear et al, 2005), que han considerado y demostrado, que cambios superiores al 40% de la condición original del territorio, puede suponer la pérdida de la homeostasis de los ecosistemas. Este producto forma parte del convenio 12-067 firmado entre el Instituto de Investigación de recursos Biológicos Alexander von Humboldt y la Empresa Colombiana de Petróleos S.A..";2014-12-31;Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
;Unicidad_Areas_Operativas_Ecopetrol;"La capa de ""Unicidad"" define la característica de las Unidades Geográficas de Análisis, evaluando que tanto se traslapa en relación con otras coberturas geográficas, que para este caso son los Biomas del Mapa de ecosistemas marinos, costeros y continentales (IDEAM, et al 2007) y las ecorregiones del mundo (Olsen, et al, 1998).
Dos características se evalúan, con cuántas unidades se traslapa y qué porcentaje esta traslapado. Con estas dos características se genera un valor de unicidad que esta entre 1, (cuando la unidad se traslapa con solo una unidad de las demás coberturas y por tanto esta traslapada al 100%, y se le considera muy única, es decir 100% de unicidad) y cercano a 0, cuando se repite múltiples veces, y en valores pequeños, que nos permite considerar a la unidad como ""común"". Este producto forma parte del convenio 12-067 firmado entre el Instituto de Investigación de recursos Biológicos Alexander von Humboldt y la Empresa Colombiana de Petróleos S.A..";2014-12-31;Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
;Unidades_Analisis_Territoriales_Areas_Operativas_Ecopetrol;Las Unidades de análisis territoriales a escala 1: 100.000 para las áreas operativas de Ecopetrol se construyeron haciendo una combinación con la información de tres componentes: unidades hidrobiológicas, biogeográficas y de biomas. Después de hacer esta combinación, se realizó una evaluación de las relaciones fuertes o débiles que se establecen entre sus componentes y el tamaño de las unidades. Teniendo en cuenta esto, cada unidad se identificó por el o los elementos más destacados o significativos, que integren o separen unidades de análisis territorial, de modo que cada una de ellas tenga una identidad clara y transparente. Este producto forma parte del convenio 12-067 firmado entre el Instituto de Investigación de recursos Biológicos Alexander von Humboldt y la Empresa Colombiana de Petróleos S.A..;2014-12-31;Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
;Procesos_Gobernanza;"El Shapefile ""Procesos_Gobernanza"" contiene información espacial de los distintos registros correspondientes a los procesos de gobernanza identificados por la línea de Gobernanza y Equidad del Programa de Ciencias Sociales y Saberes de la Biodiversidad, en marco de la revisión de fuentes secundarias internas del Instituto realizada para la elaboración del POA 2020 titulado “Análisis de la relación entre gobernanza, conflictos socioecológicos y conservación de la biodiversidad en la alta montaña”.

A partir de la matriz de sistematización de procesos de gobernanza (fuentes secundarias), se procedió a espacializar dichos procesos, dando como resultado un shapefile que contiene los puntos de ubicación aproximada de los procesos, los cuales responde a distintas escalas de incidencia como departamental, municipal, veredal, Áreas Protegidas, Territorios colectivos, entre otros.

Este producto forma parte de los resultados del contrato No. 20-20-0041-166PS, suscrito entre el Instituto Humboldt y Michael Roger Piratova Silva.";2020-10-24;Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
;Grado_Transformacion_Humedales;"Esta capa corresponde al grado de transformación de humedales, medido como el área que tiene características geomorfológicas y de suelos de humedal pero que actualmente no tiene cobertura asociada a ecosistemas de humedal. Este producto forma parte de los resultados del contrato No. 14-13-014-308S, suscrito entre el Instituto Humboldt y Jorge Eduardo Patiño Quinchía, que tiene por objeto: Prestar los servicios profesionales para elaborar:
a. Un documento técnico que aporte a los manuales metodológicos para la delimitación de cada una de las ventanas a escala 1:25.000 partiendo de los criterios físicos para la misma,
b. Realizar el análisis de transformación de humedales a nivel nacional y
c. Aportes a la clasificación de humedales partiendo de la información geomorfológica generada durante el primer año de ejecución del proyecto delimitación páramos y humedales, con el fin de aportar insumos técnicos y recomendaciones que contribuyan a la delimitación de humedales y desarrollo de actividades enmarcadas en el Convenio No. 13 - 014 (FA.005 de 2013) suscrito entre el Fondo Adaptación y el Instituto de Investigación de Recursos Biológicos “Alexander von Humboldt”.";2015-04-30;Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
_3_Cuencas_Hidrograficas;_3_4_Drenaje_Sencillo;Drenajes sencillos, escala 1:100.000;2022-04-01;Instituto Geográfico Agustín Codazzi
_3_Cuencas_Hidrograficas;_3_5_Canal_Sencillo;Canales sencillos, escala 1:100.000;2022-04-01;Instituto Geográfico Agustín Codazzi
_3_Cuencas_Hidrograficas;_3_6_Drenaje_Doble;Drenajes dobles, escala 1:100.000;2022-04-01;Instituto Geográfico Agustín Codazzi
_19_Geologia_Geomorfologia;_19_1_Fallas_Geologicas;"Las unidades representadas en el mapa son unidades cronoestratigráficas y fueron agrupadas de acuerdo a la edad y la litología de los materiales. Para la edad se utilizó como referencia la Carta Cronoestratigráfica Internacional 2020 y para la división litológica se diferenciaron las rocas y los depósitos. Las rocas se representaron según su clasificación principal: ígneas, metamórficas y sedimentarias; también, se consideraron las rocas volcanoclásticas como un tipo adicional. Los depósitos se dividieron en paludal, aluvial, volcanoclástico, morrénico, de terraza, de abanico, de caída de ceniza, de dunas y de costas. Las rocas ígneas se clasificaron por ambiente de formación en volcánicas, hipoabisales y plutónicas; estas a su vez se subdividieron por composición en ultramáficas, máficas, intermedias y félsicas. Las rocas metamórficas se separaron por grado de metamorfismo en muy bajo, bajo, medio y alto grado; y se diferenciaron las de alta presión y, por su importancia económica, los mármoles. Las rocas sedimentarias y volcanoclásticas se agruparon según su ambiente de formación. Las primeras se clasificaron en continental, transicional, continental–transicional, continental–transicional–marino, transicional–marino y marino, mientras que las segundas, en continental, continental–transicional y marino.";2022-06-15;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_2_Pliegues;Pliegues alojados en el mapa geológico de Colombia, año de actualización 2018;2018-09-25;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_3_Unidades_Cronoestratigraficas;Unidades cronoestratigráficas alojadas en el mapa geológico de Colombia, año de actualización 2018;2018-09-25;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_4_Zonas_Potencial_Geoquimico;"Las zonas con potencial mineral es la agrupación de anomalías históricas que fueron compiladas a partir de documentos, mapas y bases de datos que se produjeron en proyectos institucionales orientados a la búsqueda de recursos minerales para el desarrollo del país. Las zonas fueron re- interpretadas teniendo en cuenta los avances en el conocimiento geológico del país.

Las zonas potenciales para recursos minerales se presentan con una caracterización geológica y una descripción general que documentan el potencial mineral de cada zona.  ";2022-02-10;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_5_Zonas_Carboniferas_Colombia;Las zonas carboníferas presentadas en este conjunto de datos se basa en el libro “El Carbón Colombiano - Recursos, Reservas y Calidad” INGEOMINAS 2004, los programas de normalización de recursos y reservas de carbón realizados en las zonas carboníferas de Boyacá, Santander, Norte de Santander, Cundinamarca, Valle del cauca, Cauca y Antioquia, estudios adelantados en su momento por ECOCARBON, MINERCOL y a partir de 2008 por INGEOMINAS.;2021-07-16;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_6_Zonas_Potenciales_Integradas_Grupo_3;Zonas con Potencial Integral para Recursos Minerales de Colombia - Grupo 3 Metales de la industria del acero. En este mapa se muestran las Zonas con Potencial Integral para el grupo mineral el grupo 3 Metales de la industria del acero;2022-12-05;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_7_Zonas_Potenciales_Integradas_Grupo_1;Zonas con Potencial Integral para Recursos Minerales de Colombia - Grupo 1. Metales y Minerales Preciosos. En este mapa se muestran las Zonas con Potencial Integral para el grupo mineral 1, metales y minerales preciosos.;2019-04-17;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_8_Zonas_Potenciales_Integradas_Grupo_7;Este conjunto de datos presenta la clasificación de zonas potenciales de recursos minerales, para el grupo 7: Materiales de Construcción;2019-04-17;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_9_Zonas_Potenciales_Integradas_Grupo_2;Zonas con Potencial Integral para Recursos Minerales de Colombia - Grupo 2. Metales Básico En este mapa se muestran las Zonas con Potencial Integral para el grupo mineral 2, metales básicos;2019-03-14;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_10_Zonas_Potenciales_Integradas_Grupo_4;En este mapa se presentan las Zonas con Potencial Integral para Recursos Minerales de Colombia - Grupo 4 Metales Especiales;2019-03-14;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_11_Zonas_Potenciales_Integradas_Grupo_5;En este mapa se presentan las Zonas con Potencial Integral para Recursos Minerales de Colombia - Grupo 5: Minerales Industriales.;2019-03-14;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_12_Zonas_Potenciales_Integradas_Grupo_6;Este conjunto de datos presenta la clasificación de zonas potenciales de recursos minerales, para el grupo de Minerales Energéticos de Colombia;2019-03-14;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_13_Pozos_Banco_Informacion_Petrolera;El feature de pozos de BIP corresponde a la capa de pozos que se crean a partir de la información entregada por las compañías operadoras en particular forma-4cr, forma-6cr, forma-10acr y registro de pozos. El feature captura la información de coordenadas geográficas de superficie y fondo y los principales atributos del pozo como objeto geográfico;2022-09-13;Servicio Geologico Colombiano
_19_Geologia_Geomorfologia;_19_14_Inventario_Movimientos_Masa;El inventario de movimientos en masa, contiene los datos referentes a la información levantada en campo y verificada por el grupo de movimientos en masa del SGC en este inventario se presentan los datos de inestabilidad del terreno entre otros;2020-03-10;Servicio Geologico Colombiano
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
